model,direction,matched_question_clusters,matched_rows,matching_rule,n_bins,original_bc_rows,original_question_clusters,retention_rate,token_smd_after,token_smd_before,unmatched_fraction,window_delta_auc,window_delta_ci_high,window_delta_ci_low
qwen25_7b,math->movies,264,286,balance_optimized,10,513,468,0.557504873294347,-0.015824539755435824,0.12869223828243637,0.44249512670565305,0.4288273709761314,0.5088053050160762,0.3461608227962098
qwen25_7b,math->movies,264,286,fixed_deciles,10,513,468,0.557504873294347,-0.015824539755435824,0.12869223828243637,0.44249512670565305,0.4288273709761314,0.5051352654522511,0.3456345434121963
qwen25_7b,movies->math,330,336,balance_optimized,2,1887,1824,0.178060413354531,-0.037146145653890024,-0.008855775414557968,0.8219395866454691,0.2932578334364048,0.39207261747349836,0.19755727027775263
qwen25_7b,movies->math,332,336,fixed_deciles,10,1887,1824,0.178060413354531,-0.0068769494937989594,-0.008855775414557968,0.8219395866454691,0.27665526437847865,0.3739044620996174,0.17428421659577278
llama31_8b,math->movies,570,586,balance_optimized,20,2146,2035,0.27306616961789376,0.012368158289884523,0.10394304661376183,0.7269338303821062,0.6248699266541642,0.6838139376867239,0.5523257949907139
llama31_8b,math->movies,568,586,fixed_deciles,10,2146,2035,0.27306616961789376,0.02722127199903435,0.10394304661376183,0.7269338303821062,0.6223529103425782,0.6840812191631278,0.5627875460709036
llama31_8b,movies->math,457,468,balance_optimized,20,1273,1240,0.3676355066771406,0.0004566412680567658,-1.2224124320017866,0.6323644933228594,0.41516607008059997,0.49903080851624443,0.33271571327736343
llama31_8b,movies->math,470,480,fixed_deciles,10,1273,1240,0.3770620581304006,-0.014606864732996836,-1.2224124320017866,0.6229379418695994,0.3938317418981481,0.48275312998751096,0.31790024149982377
qwen25_14b,math->movies,294,300,balance_optimized,2,1340,1274,0.22388059701492538,0.02678947123541602,0.1385610464407562,0.7761194029850746,0.4184397660818712,0.48573033559556067,0.34182765903181506
qwen25_14b,math->movies,290,300,fixed_deciles,10,1340,1274,0.22388059701492538,0.0551654186666075,0.1385610464407562,0.7761194029850746,0.48829005847953205,0.5589499237324914,0.42193597436965097
qwen25_14b,movies->math,482,498,balance_optimized,20,1563,1493,0.31861804222648754,0.00458421218453629,-0.4028756123099948,0.6813819577735125,0.6276851222263817,0.6831926479065267,0.5688070665485002
qwen25_14b,movies->math,481,498,fixed_deciles,10,1563,1493,0.31861804222648754,0.004724163825003655,-0.4028756123099948,0.6813819577735125,0.6076629494091351,0.6731349261344547,0.542206643126135
olmo3_7b_it,math->movies,202,202,balance_optimized,10,249,249,0.8112449799196787,0.01755508249571752,0.18167980781247403,0.1887550200803213,0.7721955363853217,0.8382053984788359,0.6972251006279239
olmo3_7b_it,math->movies,202,202,fixed_deciles,10,249,249,0.8112449799196787,0.01755508249571752,0.18167980781247403,0.1887550200803213,0.7721955363853217,0.8366749472641696,0.6999890643107555
olmo3_7b_it,movies->math,152,154,balance_optimized,10,325,318,0.47384615384615386,-0.07526738163696377,-1.0785303263774915,0.5261538461538462,0.19802383763422737,0.3288063288806129,0.064685414031973
olmo3_7b_it,movies->math,152,154,fixed_deciles,10,325,318,0.47384615384615386,-0.07526738163696377,-1.0785303263774915,0.5261538461538462,0.19802383763422737,0.3302586134551458,0.06601376836870129
