experiment,model,layer,source,target,direction,delta_auc,delta_auc_ci_high,delta_auc_ci_low,delta_auc_p,delta_n_boot_valid,meta_gt_auc,meta_gt_auc_ci_high,meta_gt_auc_ci_low,meta_gt_auc_p,meta_gt_n_boot_valid,meta_mj_auc,meta_mj_auc_ci_high,meta_mj_auc_ci_low,meta_mj_auc_p,meta_mj_n_boot_valid,model_label,n_B,n_C,n_questions,sample_size,source_empty_quadrants,source_label,target_label,truth_gt_auc,truth_gt_auc_ci_high,truth_gt_auc_ci_low,truth_gt_auc_p,truth_gt_n_boot_valid,truth_mj_auc,truth_mj_auc_ci_high,truth_mj_auc_ci_low,truth_mj_auc_p,truth_mj_n_boot_valid
OOD,qwen25_7b,0,math,mmlu,math->mmlu,-0.07591647770219195,-0.025005403115957604,-0.12476021028276885,0.998,1000,0.5252739984882842,0.588242641395025,0.46027647562531876,0.21,1000,0.4747260015117158,0.5452519968373728,0.4105516028738932,0.741,1000,Qwen2.5-7B,112,189,224,301,,Math source,MMLU,0.5506424792139077,0.6202935771465088,0.4788430955238129,0.081,1000,0.4493575207860922,0.5125188683023597,0.38395581082426633,0.934,1000
OOD,qwen25_7b,0,movies,mmlu,movies->mmlu,-0.0020313681027966934,0.04950657622686567,-0.05059984263372486,0.518,1000,0.44246031746031744,0.5095303585597158,0.37185653926283607,0.948,1000,0.5575396825396826,0.6258358886555608,0.4863766311847033,0.055,1000,Qwen2.5-7B,112,189,224,301,,Movies source,MMLU,0.5595710506424793,0.6215092606554331,0.4936850472076861,0.039,1000,0.4404289493575208,0.5044787833025008,0.3725500493124906,0.96,1000
OOD,qwen25_7b,1,math,mmlu,math->mmlu,-0.09878117913832207,-0.013709666665247991,-0.18925388391177667,0.989,1000,0.5661375661375662,0.6330255284765898,0.5013203295196057,0.024,1000,0.43386243386243384,0.49624252165036997,0.36888225603138924,0.981,1000,Qwen2.5-7B,112,189,224,301,,Math source,MMLU,0.5326436130007559,0.6005027416580216,0.4701816889563096,0.157,1000,0.46735638699924414,0.5357686782517209,0.399990675990676,0.844,1000
OOD,qwen25_7b,1,movies,mmlu,movies->mmlu,-0.007180650037792891,0.041975569021157205,-0.06105271814212103,0.598,1000,0.45672713529856385,0.5255948910678304,0.3910708509822437,0.893,1000,0.5432728647014361,0.6053271938910695,0.4788456955966147,0.1,1000,Qwen2.5-7B,112,189,224,301,,Movies source,MMLU,0.550453514739229,0.6162518720641061,0.4786643097128577,0.081,1000,0.44954648526077096,0.5179575212506695,0.3819881290857592,0.931,1000
OOD,qwen25_7b,2,math,mmlu,math->mmlu,0.04124149659863946,0.15762485014324887,-0.08565908259842647,0.265,1000,0.4895597127739985,0.5625605491763007,0.41558276653400855,0.608,1000,0.5104402872260015,0.5805140342124975,0.44425230175056796,0.41,1000,Qwen2.5-7B,112,189,224,301,,Math source,MMLU,0.4691987906273621,0.5388914502312675,0.39716657142182843,0.814,1000,0.530801209372638,0.5974319080472625,0.46333558149801346,0.193,1000
OOD,qwen25_7b,2,movies,mmlu,movies->mmlu,0.009778911564625847,0.050080431630611336,-0.033216284323733754,0.318,1000,0.4470427059712774,0.512862193130538,0.3800300168363318,0.952,1000,0.5529572940287226,0.6231265114834558,0.4901310917512035,0.061,1000,Qwen2.5-7B,112,189,224,301,,Movies source,MMLU,0.5431783824640968,0.6076326856220962,0.4765096331619769,0.116,1000,0.4568216175359032,0.5158939911589026,0.3911351889103866,0.905,1000
OOD,qwen25_7b,3,math,mmlu,math->mmlu,0.03429705215419504,0.16861976033746848,-0.0952993313011644,0.317,1000,0.486583522297808,0.5513917643824441,0.4197502436647173,0.628,1000,0.513416477702192,0.5794414554882757,0.4520493706487741,0.337,1000,Qwen2.5-7B,112,189,224,301,,Math source,MMLU,0.47911942554799697,0.5447328961624955,0.4113447279193779,0.723,1000,0.520880574452003,0.5850240018886554,0.4494524505580967,0.297,1000
OOD,qwen25_7b,3,movies,mmlu,movies->mmlu,0.021730914588057426,0.06792027494434118,-0.02435735250855795,0.218,1000,0.43253968253968256,0.49754237893130265,0.3646748935306335,0.979,1000,0.5674603174603174,0.637235237632019,0.5042967094827682,0.02,1000,Qwen2.5-7B,112,189,224,301,,Movies source,MMLU,0.54572940287226,0.6161424851059906,0.4804957870004518,0.102,1000,0.45427059712774,0.5188886807220595,0.38544635874911104,0.919,1000
OOD,qwen25_7b,4,math,mmlu,math->mmlu,0.02654950869236583,0.16217333111576657,-0.10837383066764505,0.332,1000,0.4794028722600151,0.5500733450239167,0.4106439468187704,0.709,1000,0.5205971277399849,0.5899843972522408,0.4548234163353854,0.262,1000,Qwen2.5-7B,112,189,224,301,,Math source,MMLU,0.49404761904761907,0.5601423866015903,0.42332613045218087,0.574,1000,0.5059523809523809,0.5725447508441921,0.43243145006012124,0.437,1000
OOD,qwen25_7b,4,movies,mmlu,movies->mmlu,0.01596749811035525,0.06334931527500634,-0.0320418245612546,0.261,1000,0.45786092214663643,0.5297616374124736,0.3911553751093613,0.881,1000,0.5421390778533636,0.6101457833318681,0.4752472328600784,0.106,1000,Qwen2.5-7B,112,189,224,301,,Movies source,MMLU,0.5261715797430083,0.5913246357069346,0.4620852266482794,0.229,1000,0.4738284202569917,0.5362857115634235,0.4116014081598321,0.784,1000
