experiment,model,layer,source,target,direction,auc_mj,auc_mj_ci_high,auc_mj_ci_low,auc_mj_p,bootstrap_unit,cb_delta_auc,cb_delta_auc_ci_high,cb_delta_auc_ci_low,cb_delta_auc_p,cb_meta_mj_auc,cb_meta_mj_auc_ci_high,cb_meta_mj_auc_ci_low,cb_meta_mj_auc_p,cb_sample_size,cb_truth_gt_auc,cb_truth_gt_auc_ci_high,cb_truth_gt_auc_ci_low,cb_truth_gt_auc_p,n_B,n_C,n_boot_valid,question_clusters,sample_size
Exp1,qwen25_7b,0,math,movies,math->movies,0.5203553203553204,0.5724989076491045,0.46397005646285033,0.239,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,0,movies,math,movies->math,0.5493746364165212,0.5956773746007138,0.5026853963728847,0.018,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,0,math,math,math->math,0.5337336214299565,0.5786292861187118,0.4869716255486152,0.079,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,0,movies,movies,movies->movies,0.45698355698355697,0.5129512074996636,0.4022607683820864,0.939,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,0,math,movies,math->movies,,,,,target_question,0.005915705915705893,0.04380923844619242,-0.032115906264780156,0.392,0.4663012663012663,0.5237740573547603,0.4128336195937741,0.89,513,0.4603855603855604,0.5186370800083752,0.4045266673369188,0.915,143,370,1000,468,
Exp2B,qwen25_7b,0,movies,math,movies->math,,,,,target_question,0.05535125626748666,0.09894250333251606,0.014105414749419528,0.003,0.48366298235408184,0.5284814482247128,0.44168242322015194,0.762,1887,0.4283117260865952,0.47199881299176394,0.3853737169095649,1.0,168,1719,1000,1824,
Exp1,qwen25_7b,1,math,movies,math->movies,0.502967302967303,0.5534073911435606,0.44488391199596483,0.455,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,1,movies,math,movies->math,0.42790312751045734,0.47321980123911195,0.3881082026436335,1.0,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,1,math,math,math->math,0.5368916036455303,0.5819270696013701,0.48900056254569235,0.063,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,1,movies,movies,movies->movies,0.4546210546210546,0.5091987233250296,0.40023528303574507,0.95,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,1,math,movies,math->movies,,,,,target_question,0.0016065016065016646,0.05362388732953995,-0.04866295640784884,0.495,0.5081081081081081,0.5620633615987981,0.4481988068858086,0.378,513,0.5065016065016065,0.5626564677827415,0.44800406285039807,0.406,143,370,1000,468,
Exp2B,qwen25_7b,1,movies,math,movies->math,,,,,target_question,-0.07035859719105797,-0.02068097270337821,-0.11698283016476252,0.995,0.4664429762597302,0.5080096434466934,0.4249462170145869,0.941,1887,0.5368015734507882,0.5842066723995873,0.4889392903123374,0.062,168,1719,1000,1824,
Exp1,qwen25_7b,2,math,movies,math->movies,0.523927423927424,0.5779739116127981,0.47105423819108533,0.157,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,2,movies,math,movies->math,0.5004085985761378,0.5429637120403764,0.45148621482777357,0.504,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,2,math,math,math->math,0.48747887753123353,0.5294214086806921,0.4437222392410301,0.715,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,2,movies,movies,movies->movies,0.46182196182196183,0.5201989247632691,0.4036840553641741,0.901,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp2B,qwen25_7b,2,math,movies,math->movies,,,,,target_question,0.046664146664146644,0.12042494085597537,-0.03662142201324021,0.142,0.5281232281232281,0.5812387428068514,0.472499537726732,0.166,513,0.48145908145908145,0.5371685623206492,0.43153614280234015,0.721,143,370,1000,468,
Exp2B,qwen25_7b,2,movies,math,movies->math,,,,,target_question,0.0019321864871602035,0.04888828700468275,-0.04255726603762722,0.46,0.5096782459347904,0.5545396015976072,0.4637974600578031,0.353,1887,0.5077460594476302,0.551097264622405,0.46425868217389366,0.369,168,1719,1000,1824,
Exp1,qwen25_7b,3,math,movies,math->movies,0.5119637119637119,0.5712555381158015,0.4540276691202517,0.333,target_question,,,,,,,,,,,,,,143,370,1000,468,513
Exp1,qwen25_7b,3,movies,math,movies->math,0.5242250477852572,0.564647572250034,0.48163525253655365,0.149,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,3,math,math,math->math,0.46508906063879885,0.5079561891602131,0.4212920057518456,0.952,target_question,,,,,,,,,,,,,,168,1719,1000,1824,1887
Exp1,qwen25_7b,3,movies,movies,movies->movies,0.46715176715176715,0.5293319515306122,0.40654138594505834,0.851,target_question,,,,,,,,,,,,,,143,370,1000,468,513
