model,source,target,direction,boot_ci_high,boot_ci_low,boot_p_ge_zero,boot_p_le_zero,cluster_se,component,estimate,layers,n_boot_valid,n_layers,n_questions,n_rows,p_two_sided,predictor,r2_within,rank,window_end,window_start,z
qwen25_7b,math,movies,math->movies,0.2107611520607859,0.1308898716561705,1.0,0.0,0.0206512000201319,W_meta,0.1722255746812286,11;12;13;14;15;16;17;18;19;20;21,1000,11,909,1824,7.445601369606199e-17,OC,0.5618573751904365,3,0.8,0.4,8.339736892448558
qwen25_7b,math,movies,math->movies,0.5603524915377529,0.4682580982703148,1.0,0.0,0.0259112204322602,W_meta,0.5152741964475425,11;12;13;14;15;16;17;18;19;20;21,1000,11,909,1824,5.364743527465814e-88,SJ,0.5618573751904365,3,0.8,0.4,19.886141519062186
qwen25_7b,math,movies,math->movies,-0.072835570273264,-0.1737998736969473,0.0,1.0,0.0244928328850761,W_meta,-0.1240239336661869,11;12;13;14;15;16;17;18;19;20;21,1000,11,909,1824,4.112339385808921e-07,OCxSJ,0.5618573751904365,3,0.8,0.4,-5.063682680077263
qwen25_7b,math,movies,math->movies,0.2068200629876713,0.1336449232478041,1.0,0.0,0.0201334807844934,W_truth,0.1732914460819506,11;12;13;14;15;16;17;18;19;20;21,1000,11,909,1824,7.491378530733813e-18,OC,0.494578518421649,3,0.8,0.4,8.607127994252133
qwen25_7b,math,movies,math->movies,0.4719534041064653,0.3767888909052359,1.0,0.0,0.0259931087128215,W_truth,0.4229684690530076,11;12;13;14;15;16;17;18;19;20;21,1000,11,909,1824,1.5513772040178245e-59,SJ,0.494578518421649,3,0.8,0.4,16.27233101381102
qwen25_7b,math,movies,math->movies,-0.0483232218091285,-0.1424090391037803,0.0,1.0,0.0233037246568608,W_truth,-0.0961986921969978,11;12;13;14;15;16;17;18;19;20;21,1000,11,909,1824,3.658695273067285e-05,OCxSJ,0.494578518421649,3,0.8,0.4,-4.128039341928797
qwen25_7b,movies,math,movies->math,0.2321060665254792,0.1709599488731032,1.0,0.0,0.0150869673806622,W_meta,0.1995382195736112,11;12;13;14;15;16;17;18;19;20;21,1000,11,2307,4614,6.221589996587936e-40,OC,0.5013336643827282,3,0.8,0.4,13.225866705947158
qwen25_7b,movies,math,movies->math,0.534512213260805,0.4561492969166767,1.0,0.0,0.0210984067655609,W_meta,0.4959890598041242,11;12;13;14;15;16;17;18;19;20;21,1000,11,2307,4614,3.349482004629903e-122,SJ,0.5013336643827282,3,0.8,0.4,23.508365599137512
qwen25_7b,movies,math,movies->math,0.1656734832059026,0.1019725003287429,1.0,0.0,0.0161576087449847,W_meta,0.1347133146078719,11;12;13;14;15;16;17;18;19;20;21,1000,11,2307,4614,7.590736415306707e-17,OCxSJ,0.5013336643827282,3,0.8,0.4,8.337453687241089
qwen25_7b,movies,math,movies->math,0.1960487743658406,0.1362676290447899,1.0,0.0,0.0154754294731605,W_truth,0.1648486334582834,11;12;13;14;15;16;17;18;19;20;21,1000,11,2307,4614,1.7014284140143938e-26,OC,0.4122958157719554,3,0.8,0.4,10.652281653584152
