model,domain,source_kind,saved_mj_agrees_with_tau_0_5,saved_mj_agrees_with_tau_0_7,threshold,mode,n_total,n_kept,kept_fraction,n_removed,removed_fraction,n_mj_positive,n_mj_negative,A,B,C,D,n_conflict_BC,conflict_fraction_kept,min_quadrant,min_BC
qwen25_7b,math,judged_pairs_all,,,0.5,symmetric_confident,5406,5406,1.0,0,0.0,4401,1005,2459,244,1942,761,2186,0.4043655197928228,244,244
qwen25_7b,math,judged_pairs_all,,,0.6,symmetric_confident,5406,5230,0.9674435812060672,176,0.0325564187939326,4295,935,2434,222,1861,713,2083,0.3982791586998088,222,222
qwen25_7b,math,judged_pairs_all,,,0.7,symmetric_confident,5406,4992,0.9234184239733628,414,0.076581576026637,4177,815,2408,194,1769,621,1963,0.3932291666666667,194,194
qwen25_7b,math,judged_pairs_all,,,0.8,symmetric_confident,5406,4751,0.8788383277839438,655,0.1211616722160562,4030,721,2371,164,1659,557,1823,0.3837086929067564,164,164
qwen25_7b,movies,judged_pairs_all,,,0.5,symmetric_confident,2202,2202,1.0,0,0.0,1356,846,902,199,454,647,653,0.2965485921889191,199,199
qwen25_7b,movies,judged_pairs_all,,,0.6,symmetric_confident,2202,2122,0.963669391462307,80,0.036330608537693,1308,814,875,184,433,630,617,0.2907634307257304,184,184
qwen25_7b,movies,judged_pairs_all,,,0.7,symmetric_confident,2202,2007,0.9114441416893732,195,0.0885558583106267,1245,762,838,162,407,600,569,0.2835077229696063,162,162
qwen25_7b,movies,judged_pairs_all,,,0.8,symmetric_confident,2202,1903,0.8642143505903724,299,0.1357856494096276,1181,722,803,144,378,578,522,0.2743037309511298,144,144
llama31_8b,math,judged_pairs_all,,,0.5,symmetric_confident,6788,6788,1.0,0,0.0,2616,4172,1707,1687,909,2485,2596,0.3824395992928697,909,909
llama31_8b,math,judged_pairs_all,,,0.6,symmetric_confident,6788,5809,0.8557748968768415,979,0.1442251031231585,1979,3830,1316,1482,663,2348,2145,0.3692546049233947,663,663
llama31_8b,math,judged_pairs_all,,,0.7,symmetric_confident,6788,4569,0.673099587507366,2219,0.3269004124926341,1415,3154,964,1096,451,2058,1547,0.3385861238783103,451,451
llama31_8b,math,judged_pairs_all,,,0.8,symmetric_confident,6788,3440,0.506776664702416,3348,0.493223335297584,948,2492,654,769,294,1723,1063,0.3090116279069767,294,294
llama31_8b,movies,judged_pairs_all,,,0.5,symmetric_confident,7364,7364,1.0,0,0.0,1892,5472,1365,2317,527,3155,2844,0.3862031504617056,527,527
llama31_8b,movies,judged_pairs_all,,,0.6,symmetric_confident,7364,6923,0.9401140684410646,441,0.0598859315589353,1612,5311,1174,2218,438,3093,2656,0.3836487072078579,438,438
llama31_8b,movies,judged_pairs_all,,,0.7,symmetric_confident,7364,6371,0.8651548071700162,993,0.1348451928299837,1387,4984,1029,1999,358,2985,2357,0.3699576204677444,358,358
llama31_8b,movies,judged_pairs_all,,,0.8,symmetric_confident,7364,5789,0.7861216730038023,1575,0.2138783269961977,1164,4625,869,1771,295,2854,2066,0.3568837450336846,295,295
qwen25_14b,math,judged_pairs_all,,,0.5,symmetric_confident,5210,5210,1.0,0,0.0,1509,3701,1193,1412,316,2289,1728,0.3316698656429942,316,316
qwen25_14b,math,judged_pairs_all,,,0.6,symmetric_confident,5210,5109,0.9806142034548944,101,0.0193857965451055,1439,3670,1153,1390,286,2280,1676,0.3280485417889998,286,286
