model,source,target,direction,answer_letter_levels,answer_letter_reference,answer_logp_oc_auc,answer_logp_oc_ci_high,answer_logp_oc_ci_low,answer_logp_oc_n_boot_valid,answer_logp_oc_p,answer_logp_sj_auc,answer_logp_sj_ci_high,answer_logp_sj_ci_low,answer_logp_sj_n_boot_valid,answer_logp_sj_p,answer_prob_mean,answer_rank_mean,layers,letter_residual_delta_auc,letter_residual_delta_ci_high,letter_residual_delta_ci_low,letter_residual_delta_n_boot_valid,letter_residual_delta_p,letter_residual_meta_sj_auc,letter_residual_truth_oc_auc,meta_sj_auc,meta_sj_ci_high,meta_sj_ci_low,meta_sj_n_boot_valid,meta_sj_p,n_B,n_C,n_layers,n_questions,residual_delta_auc,residual_delta_ci_high,residual_delta_ci_low,residual_delta_n_boot_valid,residual_delta_p,residual_meta_sj_auc,residual_truth_oc_auc,sample_size,truth_oc_auc,truth_oc_ci_high,truth_oc_ci_low,truth_oc_n_boot_valid,truth_oc_p,window_delta_auc,window_end,window_start
qwen25_7b,math,mmlu,math->mmlu,B;C;D,A,0.669524754346183,0.7339870316246528,0.5886584063552938,1000,0.0,0.3304752456538171,0.4010846137428205,0.265636763996139,1000,1.0,0.3108216972195268,2.132890365448505,11;12;13;14;15;16;17;18;19;20;21,0.185331203188346,0.2801783910533908,0.08048445033462905,1000,0.0,0.5902777777777778,0.4049465745894318,0.5436464990036418,0.598437787906986,0.4892334296079911,1000,0.053,112,189,11,224,0.12110475503332646,0.22526854941557778,0.02084379483519435,1000,0.008,0.5502301930873359,0.42912543805400943,301,0.43185253899539605,0.48001622935988136,0.3785167056323747,1000,0.997,0.11179396000824576,0.8,0.4
qwen25_7b,math,truthfulqa_binary,math->truthfulqa_binary,B,A,0.4971160534039052,0.556009111063629,0.44504920924870267,1000,0.542,0.5028839465960948,0.5593077687426165,0.4461255313420993,1000,0.461,0.669902038050275,1.333941605839416,11;12;13;14;15;16;17;18;19;20;21,0.14224642475444044,0.22597999801507584,0.05084364909022494,1000,0.001,0.5643976021603381,0.42215117740589764,0.5628168292934947,0.6085928446842266,0.5167227766531596,1000,0.003,401,147,11,483,0.15391329962046035,0.24340960530594882,0.054011857065479306,1000,0.001,0.5688391883618105,0.4149258887413501,548,0.421973822401325,0.4691945488915429,0.3763775753084566,1000,0.999,0.14084300689216972,0.8,0.4
qwen25_7b,movies,mmlu,movies->mmlu,B;C;D,A,0.669524754346183,0.7371475408227351,0.5999876354215732,1000,0.0,0.3304752456538171,0.4051449123778138,0.2640290369144258,1000,1.0,0.3108216972195268,2.132890365448505,11;12;13;14;15;16;17;18;19;20;21,0.1999673606816464,0.2833120887387325,0.11238803124885755,1000,0.0,0.6213366659795231,0.4213693052978767,0.5728286264000549,0.6215116864047497,0.521201817173211,1000,0.003,112,189,11,224,0.15550058407201267,0.2452755531044341,0.06794109855107658,1000,0.001,0.6021696557410844,0.4466690716690717,301,0.48152013330584753,0.5349602446621582,0.4280831467063298,1000,0.755,0.09130849309420741,0.8,0.4
qwen25_7b,movies,truthfulqa_binary,movies->truthfulqa_binary,B,A,0.4971160534039052,0.5603164182156031,0.4367826899460719,1000,0.53,0.5028839465960948,0.5627394139350101,0.4392717168504382,1000,0.462,0.669902038050275,1.333941605839416,11;12;13;14;15;16;17;18;19;20;21,0.24187058636648956,0.30533282674541184,0.17718599535674504,1000,0.0,0.622395773090465,0.38052518672397545,0.6122186802628554,0.6480211230845944,0.5753447490772987,1000,0.0,401,147,11,483,0.2455318105478419,0.3192256626781841,0.1716283949174766,1000,0.0,0.62233099995836,0.37679918941051815,548,0.3855142601134763,0.42425423734832246,0.34934019019775225,1000,1.0,0.22670442014937914,0.8,0.4
llama31_8b,math,mmlu,math->mmlu,B;C;D,A,0.5565947699942737,0.7400713818486476,0.38820332480818415,1000,0.224,0.4434052300057263,0.6164208754208753,0.26730415568730787,1000,0.73,0.22414357170227106,2.3509615384615383,13;14;15;16;17;18;19;20;21;22;23;24,0.5128682318508623,0.7250771354204558,0.2918266159049656,1000,0.0,0.8068969905198194,0.29402875866895717,0.6944391423299612,0.8054751282546334,0.5713552788096973,1000,0.001,13,403,12,252,0.49588025704651023,0.7142917401528512,0.25607999884121907,1000,0.0,0.7966533053381689,0.3007730482916587,416,0.34480180696061585,0.5274222434021041,0.18096745291759317,1000,0.958,0.3496373353693453,0.8,0.4
llama31_8b,math,truthfulqa_binary,math->truthfulqa_binary,B,A,0.3491158963585434,0.40959329620732193,0.29832817464469114,1000,1.0,0.6508841036414565,0.7142631647145734,0.5904117520326336,1000,0.0,0.5745671885716724,1.4081237911025144,13;14;15;16;17;18;19;20;21;22;23;24,0.401686507936508,0.4839988323215675,0.321663636488226,1000,0.0,0.721826855742297,0.320140347805789,0.7098622782446312,0.7547470385691195,0.6646824681351845,1000,0.0,357,160,12,459,0.3874168417366946,0.4688872601094263,0.30385248683268545,1000,0.0,0.7088454131652661,0.32142857142857145,517,0.3138451213818861,0.3586655157182411,0.26732396071566716,1000,1.0,0.39601715686274513,0.8,0.4
llama31_8b,movies,mmlu,movies->mmlu,B;C;D,A,0.5565947699942737,0.7306231522542497,0.38256257508407776,1000,0.241,0.4434052300057263,0.6137836584574587,0.264457420877671,1000,0.762,0.22414357170227106,2.3509615384615383,13;14;15;16;17;18;19;20;21;22;23;24,0.6274416237195394,0.8109557664540318,0.41468581495098045,1000,0.0,0.821371763059108,0.19393013933956862,0.6749538716039957,0.8205366286557974,0.517985225979223,1000,0.009,13,403,12,252,0.6252306419800215,0.8102347612310163,0.4225504446409069,1000,0.0,0.8207673220080167,0.19553668002799515,416,0.3420181968569065,0.5044999751067443,0.19219642945892843,1000,0.971,0.3329356747470892,0.8,0.4
llama31_8b,movies,truthfulqa_binary,movies->truthfulqa_binary,B,A,0.3491158963585434,0.40464892062299285,0.295235514277803,1000,1.0,0.6508841036414565,0.707668564480035,0.5917581418172341,1000,0.0,0.5745671885716724,1.4081237911025144,13;14;15;16;17;18;19;20;21;22;23;24,0.45537902661064406,0.5323985679568728,0.36908407527282566,1000,0.0,0.7348520658263303,0.2794730392156863,0.7182466736694678,0.7640033584533885,0.6672558597487811,1000,0.0,357,160,12,459,0.43662319094304397,0.5227822798554563,0.3542406960160924,1000,0.0,0.7285116129785248,0.2918884220354809,517,0.29295051353874885,0.34277426992131105,0.24535434965079903,1000,1.0,0.42529616013071897,0.8,0.4
qwen25_14b,math,mmlu,math->mmlu,B;C;D,A,0.7041814595660749,0.7865485501245529,0.6250441424065021,1000,0.0,0.295818540433925,0.37312949591436456,0.20949652234770447,1000,1.0,0.46477502685829414,1.848360655737705,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.39527457697498164,0.4764203021267599,0.3031729914873786,1000,0.0,0.7033364476279454,0.3080618706529638,0.6961735700197238,0.7532237305001626,0.6397183757308861,1000,0.0,169,75,19,205,0.3687947679850514,0.4715397188121307,0.25627890850410256,1000,0.0,0.6980047752517389,0.3292100072666875,244,0.30691581023564823,0.3649902895629198,0.2518285358867438,1000,1.0,0.38925775978407556,0.8,0.4
qwen25_14b,math,truthfulqa_binary,math->truthfulqa_binary,B,A,0.3890067449956484,0.4785034270374738,0.31658437264969413,1000,0.992,0.6109932550043516,0.6835108008631927,0.5288620431437968,1000,0.006,0.7097678475479875,1.2923433874709978,19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0.6202189546974486,0.6982246687884657,0.5328384189319747,1000,0.0,0.8100522193211488,0.18983326462370023,0.7851936466492603,0.8424054053675899,0.7289919555191366,1000,0.0,383,48,19,388,0.5612689524071276,0.6700959250247099,0.4460894757522713,1000,0.0,0.7726541386102332,0.21138518620310567,431,0.20632071366405572,0.2624204701476452,0.1513540619447478,1000,1.0,0.5788729329852046,0.8,0.4
